Period,Dependente,Independente,Dickey-Fuller,ADF,Beta,HalfLife,Hurst,Corr,Signal,SignalStr,PeriodQt,PeriodStr
160,ELET3,SULA11,0.011210205861804807,95,0.6210194999828993,38,0.4035135813161942,0.5043000072333028,0.2681900800227242,Long/Short,3,"120,140,160"
140,ELET3,TAEE11,0.0012446313563369573,99,3.4279442545701477,48,0.384325002285677,0.49243627990174255,0.25724083979334217,Long/Short,3,"100,120,140"
160,ELET3,TIMP3,0.038959490992317894,95,2.5577505793560156,39,0.5406752564196857,-0.047973308536318815,0.30099845104061335,Long/Short,4,"100,120,140,160"
200,ELET3,UGPA3,0.017929180538944663,95,1.274282931347942,41,0.517810436646338,0.6103044677491076,0.23447786445147095,Long/Short,4,"120,140,160,200"
200,ELET3,USIM5,0.013984490767837704,95,3.217354728182153,25,0.5176725913625683,0.7801366412893062,0.3101494309297403,Long/Short,4,"120,140,160,200"
160,ELET3,VIVT4,0.04236024380208844,95,1.1725365040714473,26,0.4049804270585792,0.5697969725454419,0.06335458495747269,Short/Long,1,160
100,ELET3,WEGE3,0.02201884267366926,95,0.8711088433925176,19,0.5578435979397847,-0.4960646586401977,0.24128746589772881,Short/Long,1,100
160,ELET6,ENBR3,0.00478970949962248,99,2.299431771394702,30,0.4692532998672784,0.7722330492513305,0.06649187498181094,Long/Short,3,"120,140,160"
140,ELET6,ENGI11,0.0422964884859761,95,0.8601762677526529,39,0.47417019192363363,0.6314555754125774,0.41411429092953345,Long/Short,2,"100,140"
100,ELET6,EQTL3,0.013068690727196818,95,1.5695241148493864,20,0.531466189962577,0.634953990884694,0.1334628640248162,Long/Short,1,100
200,ELET6,FLRY3,0.024372912413533253,95,1.1483192521031569,50,0.46415668136474636,0.48230183663719217,0.3350491182298134,Long/Short,5,"100,120,140,160,200"
160,ELET6,GGBR4,0.0008513747776643704,99,1.4303931529376206,53,0.5064317930410843,0.42957991898801823,0.4332428814086823,Long/Short,4,"100,120,140,160"
160,ELET6,GOAU4,0.001170401723199515,99,2.863163177856873,51,0.4922767006132441,0.5032869683452225,0.4283006556333397,Long/Short,4,"100,120,140,160"
200,ELET6,GOLL4,0.00699914745539253,99,0.544345991971779,12,0.4744648719607475,0.880710202952011,0.09728695578815863,Short/Long,6,"100,120,140,160,180,200"
180,ELET6,HYPE3,0.036656436333340925,95,1.51934787270325,45,0.4101769527337126,0.4113399050319118,0.46743787046385793,Long/Short,3,"100,160,180"
200,ELET6,IGTA3,0.027045134290836537,95,0.6186008679141547,23,0.45523420461802855,0.8130605200221207,0.3217730509637479,Short/Long,1,200
250,ELET6,IRBR3,0.04052621738663627,95,0.13918833806641182,12,0.3964250684345357,0.7511924987829285,0.012952600732090654,Long/Short,5,"140,160,180,200,250"
200,ELET6,ITSA4,0.007900064013821718,99,2.7887395175393226,17,0.4518185768498038,0.8459479633513417,0.23184813024287024,Short/Long,3,"120,180,200"
250,ELET6,ITUB4,0.027166480337814058,95,1.0195722218653236,13,0.4605190971695263,0.8578492646508195,0.1985308871928089,Short/Long,4,"120,180,200,250"
250,ELET6,JBSS3,0.035796320386619035,95,1.454295197009507,10,0.4521489461308435,0.8048869160526911,0.20543784610069635,Short/Long,4,"200,220,240,250"
