Period,Dependent,Independent,Dickey-Fuller,ADF,Beta,Std,HalfLife,SignalStr,Corr,PeriodQt,PeriodStr
120,BRML3,HGTX3,-3.2849770264843587,95,0.2872113906218716,2.5666958260505073,5,Long/Short,0.7441542762594512,2,"120,140"
100,BRML3,HYPE3,-3.16238393200179,95,0.2519434739439611,0.837564654946397,4,Long/Short,0.28345189575725277,5,"100,120,140,160,180"
100,BRML3,IGTA3,-3.512215226543628,99,0.3593285657537294,2.543457572329885,2,Long/Short,0.9038740304950657,9,"100,120,140,160,180,200,220,240,250"
100,BRML3,IRBR3,-2.9632897274304004,95,0.295356738171358,1.0474366834088238,4,Long/Short,0.30872734654561057,9,"100,120,140,160,180,200,220,240,250"
120,BRML3,ITSA4,-3.7307837720783774,99,1.0963621040157392,0.07884562974819609,3,Long/Short,0.6675573941349262,3,"120,140,160"
100,BRML3,ITUB4,-3.3685473010269864,95,0.3433616977082306,0.20763734609827247,4,Long/Short,0.603795590157961,4,"100,120,140,160"
100,BRML3,JBSS3,-3.270670830056789,95,-0.3222034081192692,1.3742888407851792,4,Long/Short,0.044449280500838836,2,"100,120"
100,BRML3,KLBN11,-4.123945766786206,99,-0.391319131311425,1.215201803485735,2,Long/Short,-0.0469140136449936,2,"100,120"
120,BRML3,LAME4,-2.971577805320255,95,0.17324623152534624,0.013479920482864576,4,Long/Short,0.6184434385687513,2,"120,160"
100,BRML3,LREN3,-3.9961033395816146,99,0.2644892179779975,3.0106248165237814,3,Long/Short,0.7465543701286607,9,"100,120,140,160,180,200,220,240,250"
120,BRML3,MGLU3,-3.092945036226127,95,0.10063018605773455,1.0231126204753427,4,Long/Short,0.6390585093562031,3,"120,140,160"
100,BRML3,MRFG3,-3.271105335937891,95,-0.41077030837185224,0.702603344542047,3,Long/Short,-0.05803182419843924,2,"100,120"
100,BRML3,MRVE3,-2.98845502372047,95,0.43287873953506295,0.05631574097924986,4,Short/Long,0.6198418168072118,4,"100,120,140,160"
120,BRML3,MULT3,-4.523207203209804,99,0.5337691900821953,1.2274951534603757,3,Long/Short,0.8480040063304263,8,"120,140,160,180,200,220,240,250"
100,BRML3,PETR3,-3.0128275762187906,95,0.47102230935740647,0.20882372235323463,4,Long/Short,0.5017536283864285,3,"100,140,160"
100,BRML3,PETR4,-3.4588621036198877,95,0.5706223046169352,0.09241857624804198,3,Long/Short,0.4898927291964619,4,"100,120,140,160"
100,BRML3,QUAL3,-3.074941497606251,95,0.23006689699361435,1.957379615058187,4,Long/Short,0.5334456107233794,9,"100,120,140,160,180,200,220,240,250"
120,BRML3,RADL3,-3.038277435167775,95,0.07112644476104739,0.9162994496082423,4,Long/Short,0.39440510577542465,7,"120,140,160,180,220,240,250"
100,BRML3,RAIL3,-3.643043462933476,99,0.5323071486942974,0.3168409840325861,3,Long/Short,0.4861318603977245,2,"100,120"
100,BRML3,RENT3,-3.267426315676269,95,0.2643148179688361,1.0994928898983523,4,Long/Short,0.6481534451959547,6,"100,120,140,160,180,200"
